hfa_reduction,exp_pts
0,24
0.05,40
0.1,27
0.15000000000000002,26
0.2,34
0.25,24
0.30000000000000004,28
0.35000000000000003,30
0.4,36
0.45,28
0.5,31
0.55,29
0.6000000000000001,31
0.65,31
0.7000000000000001,29
0.75,24
0.8,29
0.8500000000000001,24
0.9,21
0.9500000000000001,35
1,17
0,29
0.05,36
0.1,30
0.15000000000000002,27
0.2,26
0.25,31
0.30000000000000004,29
0.35000000000000003,34
0.4,28
0.45,37
0.5,28
0.55,36
0.6000000000000001,25
0.65,35
0.7000000000000001,25
0.75,29
0.8,23
0.8500000000000001,30
0.9,23
0.9500000000000001,27
1,17
0,37
0.05,32
0.1,32
0.15000000000000002,29
0.2,34
0.25,21
0.30000000000000004,27
0.35000000000000003,31
0.4,30
0.45,26
0.5,32
0.55,29
0.6000000000000001,34
0.65,30
0.7000000000000001,29
0.75,27
0.8,27
0.8500000000000001,29
0.9,27
0.9500000000000001,28
1,27
0,37
0.05,32
0.1,33
0.15000000000000002,28
0.2,27
0.25,29
0.30000000000000004,26
0.35000000000000003,22
0.4,31
0.45,28
0.5,32
0.55,40
0.6000000000000001,21
0.65,36
0.7000000000000001,22
0.75,22
0.8,26
0.8500000000000001,29
0.9,26
0.9500000000000001,30
1,28
0,26
0.05,30
0.1,38
0.15000000000000002,42
0.2,37
0.25,29
0.30000000000000004,19
0.35000000000000003,40
0.4,29
0.45,18
0.5,24
0.55,31
0.6000000000000001,31
0.65,25
0.7000000000000001,22
0.75,26
0.8,27
0.8500000000000001,27
0.9,25
0.9500000000000001,28
1,29
0,30
0.05,28
0.1,24
0.15000000000000002,33
0.2,32
0.25,26
0.30000000000000004,28
0.35000000000000003,26
0.4,30
0.45,18
0.5,30
0.55,36
0.6000000000000001,35
0.65,23
0.7000000000000001,29
0.75,34
0.8,20
0.8500000000000001,20
0.9,30
0.9500000000000001,23
1,33
0,39
0.05,26
0.1,30
0.15000000000000002,29
0.2,38
0.25,28
0.30000000000000004,25
0.35000000000000003,32
0.4,32
0.45,31
0.5,27
0.55,31
0.6000000000000001,30
0.65,27
0.7000000000000001,27
0.75,25
0.8,19
0.8500000000000001,26
0.9,16
0.9500000000000001,29
1,34
0,33
0.05,32
0.1,33
0.15000000000000002,33
0.2,27
0.25,28
0.30000000000000004,27
0.35000000000000003,24
0.4,35
0.45,29
0.5,37
0.55,19
0.6000000000000001,28
0.65,19
0.7000000000000001,32
