"team","mins"
"UC Santa Barbara",0.856517735048698
"Arkansas Pine Bluff",0.613627499394759
"Portland St.",0.547488594014829
"Indiana",0.667933586717343
"North Carolina St.",0.467378242736976
"Central Michigan",0.591918383676735
"Brown",0.520087947231661
"Columbia",0.660284659651143
"UC Irvine",0.6778
"Montana",0.607908063887807
"UAB",0.419
"Tulane",0.599560175929628
"FIU",0.240903638544582
"BYU",0.574882336713453
"Illinois Chicago",0.771092148200694
"Xavier",0.67204625770613
"Charlotte",0.587150929939101
"Canisius",0.491501699660068
"Wake Forest",0.594
"Florida Atlantic",0.503602505126642
"Northeastern",0.674909685259088
"Robert Morris",0.243448689737948
"Seattle",0.412186321409329
"Villanova",0.617297297297298
"Howard",0.317581395348837
"Utah St.",0.572114422884577
"Marist",0.751976229186522
"Toledo",0.46869373874775
"Denver",0.781769346986738
"Cal St. Northridge",0.365673134626925
"Maryland",0.628565570035542
"Rice",0.278888444622151
"Abilene Christian",0.93294009331631
"Rider",0.419810774032084
"Boston College",0.41466826538769
"Arizona",0.543693263235178
"Penn St.",0.795126732950567
"Hawaii",0.777268671838377
"San Diego",0.628148740503798
"UC Davis",0.407407407407407
"LSU",0.60015993602559
"Houston Baptist",0.362693084516258
"St. Francis NY",0.641065144169045
"Fresno St.",0.686906135677282
"UMKC",0.337145009704771
"Baylor",0.569521520087973
"Oral Roberts",0.427776172296835
"Ohio",0.571571371451419
"Winthrop",0.472516490105936
"Northern Illinois",0.418545516189185
"Georgia Tech",0.580283943211358
"Morgan St.",0.834867223096508
"Marquette",0.538507701540308
"Weber St.",0.592607392607393
"Maine",0.580453066052485
"Sam Houston St.",0.488508879790079
"Kansas",0.4688
"St. Francis PA",0.704516839785962
"SMU",0.431486297259452
"Richmond",0.565686862627474
"Providence",0.942777110844338
"Louisville",0.555503017828832
"Davidson",0.792599915266205
"Savannah St.",0.563112622524505
"North Florida",0.194414607948443
"Missouri St.",0.662704098279262
"Vanderbilt",0.7162
"Washington St.",0.394527842464974
"Akron",0.2166
"Bowling Green",0.581717944157923
"Memphis",0.285142971405719
"Central Arkansas",0.687675070028011
"Murray St.",0.543
"American",0.457804491091042
"Notre Dame",0.61747650469906
"Creighton",0.537092581483703
"Duke",0.192076830732293
"Indiana St.",0.431886377275455
"UCLA",0.317638358190558
"Pacific",0.263869349807328
"Texas A&M",0.76171141635782
"North Texas",0.454135461651998
"Nevada",0.509300329953226
"UTSA",0.596577936371218
"Hartford",0.795674152647717
"Mississippi Valley St.",0.180830247968751
"Gardner Webb",0.720966265229946
"Prairie View A&M",0.522575321439527
"Chattanooga",0.295481807277089
"Georgia Southern",0.907014516099018
"Northern Arizona",0.409459329433011
