team,n_win,n_loss,yusag_coeff,seed,conference,finals,champ,loc_type
SFA,19,1,4.5188610972002525,1,Southland,0.7560000000000006,0.5760000000000004,N
Abilene Christian,15,5,-1.6290242150084984,2,Southland,0.45500000000000035,0.17600000000000013,N
Nicholls St.,15,5,-3.02325782718414,3,Southland,0.3060000000000002,0.09600000000000007,N
Sam Houston St.,11,9,-4.266507834514057,4,Southland,0.16800000000000012,0.08100000000000006,N
Northwestern St.,11,9,-8.901244561490818,5,Southland,0.04900000000000004,0.011000000000000003,N
Lamar University,10,10,-6.816135996118791,6,Southland,0.1300000000000001,0.03200000000000002,N
McNeese,10,10,-7.254784594042544,7,Southland,0.10900000000000008,0.02100000000000001,N
A&M-Corpus Christi,10,10,-9.310157270714514,8,Southland,0.027000000000000017,0.007,N
San Diego St.,19,2,17.13725223842716,1,MWC,0.7610000000000006,0.5780000000000004,N
Utah St.,15,6,12.171373352943691,2,MWC,0.5890000000000004,0.23800000000000018,N
Nevada,12,7,7.842136165498635,3,MWC,0.23200000000000018,0.06200000000000005,N
UNLV,12,6,6.103381297952216,4,MWC,0.09000000000000007,0.03800000000000003,N
Boise St.,11,8,7.8194730043085965,5,MWC,0.12700000000000009,0.048000000000000036,N
Colorado St.,11,8,5.884852370460466,6,MWC,0.1320000000000001,0.027000000000000017,N
New Mexico,8,12,1.9145446945988063,7,MWC,0.047000000000000035,0.007,N
Fresno St.,7,12,1.2806034627787746,8,MWC,0.022000000000000013,0.002,N
Akron,14,4,6.551678095786555,1,MAC,0.5170000000000003,0.36300000000000027,N
Bowling Green,12,6,-0.19157811003509373,2,MAC,0.16500000000000012,0.057000000000000044,N
Ball St.,11,7,3.6560259652076645,3,MAC,0.31900000000000023,0.1520000000000001,N
Buffalo,11,7,1.8146047253463848,4,MAC,0.2410000000000002,0.10900000000000008,N
Northern Ill.,11,7,-1.0109694775608915,5,MAC,0.12500000000000008,0.05200000000000004,N
Kent St.,9,9,3.1293676039234732,6,MAC,0.2860000000000002,0.12800000000000009,N
Toledo,8,10,0.9024131524803263,7,MAC,0.23000000000000018,0.08400000000000006,N
Ohio,8,10,-0.2538445368655644,8,MAC,0.11700000000000009,0.05500000000000004,N
Kentucky,15,3,13.813374103782037,1,SEC,0.3870000000000003,0.22000000000000017,N
